Pourquoi fixe-t-on un budget avant de jouer ?,Pour dépenser plus,Pour limiter les pertes,Pour frimer,Pour rien,B,C'est une règle de sécurité pour ne pas se ruiner.
Dans une grille de 25 cases placer une carte au hasard c'est ?,Facile,Stratégique,Aléatoire,Risqué,C,Sans réfléchir c'est juste du hasard.
Si deux événements sont indépendants ?,L'un influence l'autre,Ils ne sont pas liés,Ils arrivent en même temps,C'est pareil,B,Le résultat de l'un ne change pas celui de l'autre (ex: 2 dés).
Le danger des jeux en ligne sur smartphone c'est ?,La batterie,L'accessibilité 24h/24,L'écran,Le réseau,B,On peut jouer partout et tout le temps ce qui augmente le risque.
Quelle main bat une Couleur (Flush) ?,Brelan,Suite,Full House,Paire,C,Le Full House est plus rare et plus fort que la Couleur.
Combien font 10% de 200 jetons ?,10,20,50,100,B,200 divisé par 10 égale 20.
Dans une suite "2 - 4 - 8 - 16" le prochain nombre est ?,18,20,24,32,D,On multiplie par 2 à chaque étape (16 x 2 = 32).
Que signifie "Se coucher" au poker ?,Dormir sur la table,Jeter ses cartes,Miser tout,Montrer son jeu,B,C'est abandonner le tour pour ne plus perdre de jetons.
La somme des angles d'un carré est ?,180°,360°,90°,100°,B,4 angles droits de 90° font 360°.
Si je lance un dé quelle est la chance d'avoir un chiffre pair ?,1/6,1/2,1/3,50%,B,Les chiffres pairs sont 2 4 6. Soit 3 faces sur 6 (la moitié).
Le "Tilt" au poker c'est ?,Une stratégie,S'énerver et mal jouer,Gagner gros,Une sorte de chaise,B,C'est un état émotionnel où la frustration fait perdre la raison.
Combien y a-t-il de semaines dans une année ?,12,48,52,365,C,Il y a 52 semaines (et un ou deux jours) par an.
Quel est l'opposé de la face 1 sur un dé ?,2,5,6,3,C,La somme des faces opposées fait toujours 7. Donc 7 - 1 = 6.
Quelle est la probabilité de tirer l'As de Pique ?,1/4,1/13,1/52,1/100,C,C'est la seule carte exacte dans un paquet de 52.
Si j'ai 3 Paires dans mon jeu de 5 cartes ?,Ça fait un Full,Ça fait 3 Paires,C'est impossible,C'est une Double Paire,C,On ne peut avoir que 5 cartes donc max 2 paires + 1 carte.
Un "Carré" c'est combien de cartes identiques ?,3,4,5,2,B,Comme son nom l'indique en anglais (Four of a kind) c'est 4 cartes.
Combien de cartes composent une "Quinte Flush Royale" ?,3,4,5,6,C,C'est une suite de 5 cartes (10 V D R As) de la même couleur.
Si je double ma mise chaque fois que je perds ça s'appelle ?,La Martingale,Le Bluff,Le Grind,La Sécurité,A,Une technique très dangereuse car les mises grimpent exponentiellement.
Quel chiffre romain représente le 5 ?,I,V,X,L,B,V vaut 5. X vaut 10.
Si un événement a une probabilité de 0% il est ?,Certain,Possible,Impossible,Rare,C,0% veut dire qu'il n'arrivera jamais.
Dans le mot "HASARD" quelle est la probabilité de tirer un A ?,1/6,2/6,1/2,1/3,B,Il y a deux lettres A sur six lettres au total (2/6 = 1/3).
Le RNG dans un jeu vidéo signifie ?,Random Number Generator,Red No Green,Run New Game,Real Nice Game,A,C'est le programme qui génère les nombres aléatoires.
Si je divise 50 par 0.5 j'obtiens ?,25,50,100,500,C,Diviser par une moitié revient à multiplier par 2.
Quelle couleur n'existe pas dans un jeu de cartes classique ?,Rouge,Noir,Bleu,Aucune,C,Les cartes sont soit Rouges (Cœur/Carreau) soit Noires (Pique/Trèfle).
Combien de valets y a-t-il dans un jeu de 52 cartes ?,2,4,8,12,B,Un valet par couleur (Pique Cœur Carreau Trèfle).
Si "Pile" est sorti 10 fois la probabilité que "Face" sorte est ?,Plus forte,Moins forte,Toujours 1/2,Certaine,C,La pièce n'a pas de mémoire chaque lancer est indépendant.
Que bat une "Double Paire" ?,Un Brelan,Une Paire,Une Suite,Un Carré,B,La Double Paire est plus forte que la Paire simple mais moins que le Brelan.
Si je mets 3 jetons sur le Rouge et 3 sur le Noir à la Roulette ?,Je gagne tout,Je perds tout,Je ne gagne rien,Je perds si le Zéro sort,D,Les gains s'annulent mais si le Zéro sort le casino ramasse tout.
Le quart de 100 est ?,10,20,25,40,C,100 divisé par 4 égale 25.
Une année bissextile compte combien de jours ?,364,365,366,370,C,On rajoute le 29 février tous les 4 ans.
Au poker l'As peut servir à faire une suite avec ?,2 3 4 5,R D V 10,Les deux,Aucun,C,L'As peut être la carte la plus basse (A-2-3-4-5) ou la plus haute (10-V-D-R-A).
Si j'ai 50% de chance de gagner et je joue 2 fois ?,Je gagne forcément 1 fois,Je peux perdre 2 fois,Je gagne 2 fois,C'est impossible,B,Les statistiques ne garantissent rien sur un petit nombre d'essais.
Combien font 7 fois 8 ?,54,56,48,64,B,C'est une table de multiplication classique.
